Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

08:59:49      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:59:50     1000     11538    1.00    0.00    0.00    0.00    1.00    19  daemon
08:59:51     1000     11538    0.00    1.00    0.00    0.00    1.00    19  daemon
08:59:52     1000     11538    0.00    0.00    0.00    0.00    0.00    19  daemon
08:59:53     1000     11538    0.00    0.00    0.00    0.00    0.00    19  daemon
08:59:54     1000     11538    0.00    0.00    0.00    0.00    0.00    19  daemon
08:59:55     1000     11538    0.00    0.00    0.00    0.00    0.00    19  daemon
08:59:56     1000     11538    0.00    0.00    0.00    0.00    0.00    19  daemon
08:59:57     1000     11538    0.00    0.00    0.00    0.00    0.00    19  daemon
08:59:58     1000     11538    0.00    0.00    0.00    0.00    0.00    19  daemon
08:59:59     1000     11538    0.00    0.00    0.00    0.00    0.00    19  daemon
Average:     1000     11538    0.10    0.10    0.00    0.00    0.20     -  daemon
