Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

09:00:24      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:00:25     1000     11638    0.00    0.00    0.00    0.00    0.00     5  daemon
09:00:26     1000     11638    0.00    0.00    0.00    0.00    0.00     5  daemon
09:00:27     1000     11638    0.00    0.00    0.00    0.00    0.00     5  daemon
09:00:28     1000     11638    0.00    0.00    0.00    0.00    0.00     5  daemon
09:00:29     1000     11638    0.00    0.00    0.00    0.00    0.00     5  daemon
09:00:30     1000     11638    0.00    0.00    0.00    0.00    0.00     5  daemon
09:00:31     1000     11638    0.00    0.00    0.00    0.00    0.00     5  daemon
09:00:32     1000     11638    0.00    0.00    0.00    0.00    0.00     5  daemon
09:00:33     1000     11638    0.00    0.00    0.00    0.00    0.00     5  daemon
09:00:34     1000     11638    0.00    1.00    0.00    0.00    1.00     5  daemon
Average:     1000     11638    0.00    0.10    0.00    0.00    0.10     -  daemon
