Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

09:00:58      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:00:59     1000     11721    0.00    0.00    0.00    0.00    0.00     6  daemon
09:01:00     1000     11721    0.00    0.00    0.00    0.00    0.00     6  daemon
09:01:01     1000     11721    0.00    0.00    0.00    0.00    0.00     6  daemon
09:01:02     1000     11721    0.00    0.00    0.00    0.00    0.00     6  daemon
09:01:03     1000     11721    0.00    0.00    0.00    0.00    0.00     6  daemon
09:01:04     1000     11721    0.00    0.00    0.00    0.00    0.00     6  daemon
09:01:05     1000     11721    0.00    0.00    0.00    0.00    0.00     6  daemon
09:01:06     1000     11721    0.00    0.00    0.00    0.00    0.00     6  daemon
09:01:07     1000     11721    0.00    0.00    0.00    0.00    0.00     6  daemon
09:01:08     1000     11721    0.00    1.00    0.00    0.00    1.00     6  daemon
Average:     1000     11721    0.00    0.10    0.00    0.00    0.10     -  daemon
