Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

09:01:33      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:01:34     1000     11846    0.00    0.00    0.00    0.00    0.00    17  daemon
09:01:35     1000     11846    0.00    0.00    0.00    0.00    0.00    17  daemon
09:01:36     1000     11846    0.00    0.00    0.00    0.00    0.00    17  daemon
09:01:37     1000     11846    0.00    0.00    0.00    0.00    0.00    17  daemon
09:01:38     1000     11846    0.00    0.00    0.00    0.00    0.00    17  daemon
09:01:39     1000     11846    0.00    0.00    0.00    0.00    0.00    17  daemon
09:01:40     1000     11846    0.00    0.00    0.00    0.00    0.00    17  daemon
09:01:41     1000     11846    0.00    0.00    0.00    0.00    0.00    17  daemon
09:01:42     1000     11846    0.00    0.00    0.00    0.00    0.00    17  daemon
09:01:43     1000     11846    0.00    0.00    0.00    0.00    0.00    17  daemon
Average:     1000     11846    0.00    0.00    0.00    0.00    0.00     -  daemon
