Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

08:54:27      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:54:28     1000     10080    0.00    0.00    0.00    0.00    0.00     6  daemon
08:54:29     1000     10080    0.00    0.00    0.00    0.00    0.00     6  daemon
08:54:30     1000     10080    0.00    0.00    0.00    0.00    0.00     6  daemon
08:54:31     1000     10080    0.00    0.00    0.00    0.00    0.00     6  daemon
08:54:32     1000     10080    0.00    1.00    0.00    0.00    1.00     6  daemon
08:54:33     1000     10080    0.00    0.00    0.00    0.00    0.00     6  daemon
08:54:34     1000     10080    0.00    0.00    0.00    0.00    0.00     6  daemon
08:54:35     1000     10080    0.00    0.00    0.00    0.00    0.00     6  daemon
08:54:36     1000     10080    1.00    0.00    0.00    0.00    1.00     6  daemon
08:54:37     1000     10080    0.00    0.00    0.00    0.00    0.00     6  daemon
Average:     1000     10080    0.10    0.10    0.00    0.00    0.20     -  daemon
