Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

08:55:16      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:55:17     1000     10277    0.00    0.00    0.00    0.00    0.00     5  daemon
08:55:18     1000     10277    0.00    0.00    0.00    0.00    0.00     5  daemon
08:55:19     1000     10277    0.00    1.00    0.00    0.00    1.00     5  daemon
08:55:20     1000     10277    0.00    0.00    0.00    0.00    0.00     5  daemon
08:55:21     1000     10277    0.00    0.00    0.00    0.00    0.00     5  daemon
08:55:22     1000     10277    0.00    0.00    0.00    0.00    0.00     5  daemon
08:55:23     1000     10277    0.00    0.00    0.00    0.00    0.00     5  daemon
08:55:24     1000     10277    0.00    0.00    0.00    0.00    0.00     5  daemon
08:55:25     1000     10277    0.00    0.00    0.00    0.00    0.00     5  daemon
08:55:26     1000     10277    0.00    0.00    0.00    0.00    0.00     5  daemon
Average:     1000     10277    0.00    0.10    0.00    0.00    0.10     -  daemon
