Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

08:54:51      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:54:52     1000     10156    0.00    0.00    0.00    0.00    0.00     5  daemon
08:54:53     1000     10156    0.00    0.00    0.00    0.00    0.00     5  daemon
08:54:54     1000     10156    0.00    0.00    0.00    0.00    0.00     5  daemon
08:54:55     1000     10156    0.00    0.00    0.00    0.00    0.00     5  daemon
08:54:56     1000     10156    0.00    0.00    0.00    0.00    0.00     5  daemon
08:54:57     1000     10156    0.00    0.00    0.00    0.00    0.00     5  daemon
08:54:58     1000     10156    0.00    0.00    0.00    0.00    0.00     5  daemon
08:54:59     1000     10156    0.00    0.00    0.00    0.00    0.00     5  daemon
08:55:00     1000     10156    0.00    0.00    0.00    0.00    0.00     5  daemon
08:55:01     1000     10156    0.00    0.00    0.00    0.00    0.00     5  daemon
Average:     1000     10156    0.00    0.00    0.00    0.00    0.00     -  daemon
