Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

08:57:07      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:57:08     1000     10532    0.00    0.00    0.00    0.00    0.00     1  daemon
08:57:09     1000     10532    0.00    0.00    0.00    0.00    0.00     1  daemon
08:57:10     1000     10532    0.00    0.00    0.00    0.00    0.00     1  daemon
08:57:11     1000     10532    0.00    0.00    0.00    0.00    0.00     1  daemon
08:57:12     1000     10532    0.00    0.00    0.00    0.00    0.00     1  daemon
08:57:13     1000     10532    0.00    1.00    0.00    0.00    1.00     1  daemon
08:57:14     1000     10532    0.00    0.00    0.00    0.00    0.00     1  daemon
08:57:15     1000     10532    0.00    0.00    0.00    0.00    0.00     1  daemon
08:57:16     1000     10532    0.00    0.00    0.00    0.00    0.00     1  daemon
08:57:17     1000     10532    0.00    0.00    0.00    0.00    0.00     1  daemon
Average:     1000     10532    0.00    0.10    0.00    0.00    0.10     -  daemon
