Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

08:55:38      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:55:39     1000     10352    0.00    0.00    0.00    0.00    0.00    23  daemon
08:55:40     1000     10352    0.00    0.00    0.00    0.00    0.00    23  daemon
08:55:41     1000     10352    0.00    0.00    0.00    0.00    0.00    23  daemon
08:55:42     1000     10352    0.00    1.00    0.00    0.00    1.00    23  daemon
08:55:43     1000     10352    0.00    0.00    0.00    0.00    0.00    23  daemon
08:55:44     1000     10352    0.00    0.00    0.00    0.00    0.00    23  daemon
08:55:45     1000     10352    0.00    0.00    0.00    0.00    0.00    23  daemon
08:55:46     1000     10352    0.00    0.00    0.00    0.00    0.00    23  daemon
08:55:47     1000     10352    0.00    0.00    0.00    0.00    0.00    23  daemon
08:55:48     1000     10352    0.00    0.00    0.00    0.00    0.00    23  daemon
Average:     1000     10352    0.00    0.10    0.00    0.00    0.10     -  daemon
