Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

08:56:00      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:56:01     1000     10441    0.00    0.00    0.00    0.00    0.00    21  daemon
08:56:02     1000     10441    0.00    0.00    0.00    0.00    0.00    21  daemon
08:56:03     1000     10441    0.00    0.00    0.00    0.00    0.00    21  daemon
08:56:04     1000     10441    0.00    0.00    0.00    0.00    0.00    21  daemon
08:56:05     1000     10441    0.00    0.00    0.00    0.00    0.00    21  daemon
08:56:06     1000     10441    0.00    0.00    0.00    0.00    0.00    21  daemon
08:56:07     1000     10441    0.00    1.00    0.00    0.00    1.00    21  daemon
08:56:08     1000     10441    0.00    0.00    0.00    0.00    0.00    21  daemon
08:56:09     1000     10441    0.00    0.00    0.00    0.00    0.00    21  daemon
08:56:10     1000     10441    0.00    0.00    0.00    0.00    0.00    21  daemon
Average:     1000     10441    0.00    0.10    0.00    0.00    0.10     -  daemon
