Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:37:13      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:37:14     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:15     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:16     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:17     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:18     1000    101827    0.00    1.00    0.00    0.00    1.00     2  daemon
23:37:19     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:20     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:21     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:22     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:23     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:24     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:25     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
23:37:26     1000    101827    0.00    0.00    0.00    0.00    0.00     2  daemon
Average:     1000    101827    0.00    0.08    0.00    0.00    0.08     -  daemon
