Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

08:59:59      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:00:00     1000     10817    4.00    0.00    1.00    0.00    5.00    15  qemu-system-x86
09:00:01     1000     10817    4.00    0.00    0.00    0.00    4.00     2  qemu-system-x86
09:00:02     1000     10817    4.00    1.00    0.00    0.00    5.00     0  qemu-system-x86
09:00:03     1000     10817    4.00    0.00    1.00    0.00    5.00     0  qemu-system-x86
09:00:04     1000     10817    3.00    0.00    0.00    0.00    3.00     0  qemu-system-x86
09:00:05     1000     10817    4.00    1.00    0.00    0.00    5.00     0  qemu-system-x86
09:00:06     1000     10817    2.00    1.00    0.00    0.00    3.00    16  qemu-system-x86
09:00:07     1000     10817    4.00    1.00    0.00    0.00    5.00    16  qemu-system-x86
09:00:08     1000     10817    3.00    0.00    0.00    0.00    3.00     5  qemu-system-x86
09:00:09     1000     10817    4.00    0.00    0.00    0.00    4.00     1  qemu-system-x86
Average:     1000     10817    3.60    0.40    0.20    0.00    4.20     -  qemu-system-x86
