Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

09:00:34      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:00:35     1000     10817    3.00    1.00    1.00    0.00    5.00    16  qemu-system-x86
09:00:36     1000     10817    3.00    0.00    0.00    0.00    3.00    16  qemu-system-x86
09:00:37     1000     10817    4.00    0.00    0.00    0.00    4.00    16  qemu-system-x86
09:00:38     1000     10817    4.00    1.00    0.00    0.00    5.00    16  qemu-system-x86
09:00:39     1000     10817    4.00    0.00    0.00    0.00    4.00     5  qemu-system-x86
09:00:40     1000     10817    3.00    0.00    0.00    0.00    3.00     0  qemu-system-x86
09:00:41     1000     10817    4.00    0.00    0.00    0.00    4.00     1  qemu-system-x86
09:00:42     1000     10817    4.00    1.00    0.00    0.00    5.00     0  qemu-system-x86
09:00:43     1000     10817    4.00    0.00    0.00    0.00    4.00     1  qemu-system-x86
09:00:44     1000     10817    4.00    0.00    0.00    0.00    4.00     0  qemu-system-x86
Average:     1000     10817    3.70    0.30    0.10    0.00    4.10     -  qemu-system-x86
