Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

09:01:08      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:01:09     1000     10817    3.00    0.00    0.00    0.00    3.00     0  qemu-system-x86
09:01:10     1000     10817    4.00    0.00    1.00    0.00    5.00    17  qemu-system-x86
09:01:11     1000     10817    3.00    0.00    0.00    0.00    3.00    18  qemu-system-x86
09:01:12     1000     10817    4.00    1.00    0.00    0.00    5.00     0  qemu-system-x86
09:01:13     1000     10817    3.00    1.00    0.00    0.00    4.00    17  qemu-system-x86
09:01:14     1000     10817    3.00    0.00    1.00    0.00    4.00    17  qemu-system-x86
09:01:15     1000     10817    4.00    0.00    0.00    0.00    4.00    17  qemu-system-x86
09:01:16     1000     10817    4.00    1.00    0.00    0.00    5.00    17  qemu-system-x86
09:01:17     1000     10817    4.00    0.00    0.00    0.00    4.00     1  qemu-system-x86
09:01:18     1000     10817    4.00    0.00    0.00    0.00    4.00     2  qemu-system-x86
Average:     1000     10817    3.60    0.30    0.20    0.00    4.10     -  qemu-system-x86
