Linux 6.17.0-8-generic (tzhang) 	12/12/25 	_x86_64_	(32 CPU)

09:01:43      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:01:44     1000     10817    4.00    0.00    0.00    0.00    4.00     1  qemu-system-x86
09:01:45     1000     10817    4.00    1.00    0.00    0.00    5.00    16  qemu-system-x86
09:01:46     1000     10817    4.00    0.00    0.00    0.00    4.00    16  qemu-system-x86
09:01:47     1000     10817    3.00    0.00    0.00    0.00    3.00    16  qemu-system-x86
09:01:48     1000     10817    2.00    1.00    1.00    0.00    4.00    16  qemu-system-x86
09:01:49     1000     10817    4.00    0.00    0.00    0.00    4.00     0  qemu-system-x86
09:01:50     1000     10817    4.00    0.00    0.00    0.00    4.00    17  qemu-system-x86
09:01:51     1000     10817    4.00    1.00    0.00    0.00    5.00    17  qemu-system-x86
09:01:52     1000     10817    4.00    0.00    0.00    0.00    4.00    17  qemu-system-x86
09:01:53     1000     10817    4.00    0.00    0.00    0.00    4.00    17  qemu-system-x86
Average:     1000     10817    3.70    0.30    0.10    0.00    4.10     -  qemu-system-x86
