Linux 6.17.0-8-generic (tzhang) 	12/11/25 	_x86_64_	(32 CPU)

23:43:14      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:43:15     1000     87942    1.00    0.00    1.00    0.00    2.00    16  qemu-system-x86
23:43:16     1000     87942    1.00    0.00    0.00    0.00    1.00    16  qemu-system-x86
23:43:17     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:43:18     1000     87942    1.00    0.00    0.00    0.00    1.00     6  qemu-system-x86
23:43:19     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
23:43:20     1000     87942    2.00    0.00    0.00    0.00    2.00     7  qemu-system-x86
23:43:21     1000     87942    1.00    0.00    0.00    0.00    1.00    17  qemu-system-x86
23:43:22     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:43:23     1000     87942    0.00    0.00    1.00    0.00    1.00     5  qemu-system-x86
23:43:24     1000     87942    2.00    0.00    0.00    0.00    2.00    17  qemu-system-x86
23:43:25     1000     87942    1.00    0.00    0.00    0.00    1.00     7  qemu-system-x86
23:43:26     1000     87942    1.00    0.00    0.00    0.00    1.00     1  qemu-system-x86
23:43:27     1000     87942    1.00    0.00    0.00    0.00    1.00     0  qemu-system-x86
Average:     1000     87942    1.08    0.00    0.15    0.00    1.23     -  qemu-system-x86
